,Unnamed: 0,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity,Larger,Duration
81,146,1,6,AdV,2,1.256,0,4,Young,362,419,58,928.9,410.6,897.4,262.5,3.81,307,False,0.012410423452768729
82,147,1,6,AdV,3,10.18,0,3,Young,606,710,105,894.9,268.8,938.1,870.4,14.55,410,False,0.035487804878048784
83,148,1,6,AdV,4,3.194,1,3,Young,905,982,78,950.4,842.9,902.2,287.3,13.5,631,False,0.021394611727416798
84,149,1,6,AdV,5,2.004,1,4,Young,151,282,132,846.4,391.8,867.5,243.4,3.81,448,False,0.008504464285714285
85,150,1,6,AdV,6,2.454,0,3,Young,539,668,130,857.7,241.8,904.0,926.4,16.44,339,False,0.04849557522123894
86,151,1,6,AdV,7,3.572,1,1,Young,842,929,88,904.5,884.1,843.7,220.7,16.04,582,False,0.02756013745704467
87,152,1,6,AdV,8,1.725,0,4,Young,-17,2,20,866.7,326.1,932.6,351.3,1.38,125,False,0.01104
88,153,1,6,AdV,9,0.963,0,2,Young,211,252,42,921.0,351.7,857.9,242.8,3.02,304,False,0.00993421052631579
89,154,1,6,AdV,10,2.96,1,4,Young,355,360,6,858.1,231.7,858.4,244.1,0.32,41,False,0.007804878048780488
90,155,1,6,AdV,11,0.648,1,3,Young,439,665,227,850.4,253.9,862.3,468.8,5.44,739,False,0.0073612990527740195
91,156,1,6,AdV,12,0.813,1,1,Young,792,869,78,892.8,899.4,849.2,370.3,12.68,558,False,0.02272401433691756
92,157,1,6,AdV,13,0.944,0,1,Young,944,978,35,859.8,373.8,837.8,316.5,1.51,218,False,0.006926605504587156
93,158,1,6,AdV,14,3.552,1,1,Young,379,490,112,844.9,257.7,883.1,778.0,12.76,263,False,0.048517110266159694
94,159,1,6,AdV,15,1.07,1,4,Young,644,722,79,876.0,738.2,867.1,243.5,12.19,629,False,0.019379968203497615
95,160,1,6,AdV,16,2.382,0,2,Young,391,475,85,842.1,277.5,905.4,740.3,11.44,383,False,0.029869451697127937
96,161,1,7,dV,1,3.038,1,3,Young,641,716,76,922.4,744.6,915.1,227.6,12.73,639,False,0.01992175273865415
97,162,1,7,dV,2,2.744,0,2,Young,163,188,26,808.2,318.7,914.9,245.3,2.73,234,False,0.011666666666666667
98,163,1,7,dV,3,5.571,1,2,Young,362,483,122,908.1,260.0,879.5,869.2,14.72,369,False,0.03989159891598916
99,164,1,7,dV,4,0.803,1,2,Young,629,721,93,876.6,842.1,854.7,220.3,15.1,675,False,0.02237037037037037
100,165,1,7,dV,5,4.268,0,1,Young,322,386,65,843.2,250.1,939.9,449.1,5.37,319,False,0.01683385579937304
101,166,1,7,dV,6,4.068,1,4,Young,550,610,61,942.9,447.8,900.5,274.5,4.47,358,False,0.012486033519553071
102,167,1,7,dV,7,1.075,0,3,Young,187,239,53,1026.2,385.4,875.2,227.1,4.92,349,False,0.014097421203438395
103,168,1,7,dV,8,1.075,1,2,Young,534,616,83,863.7,234.8,869.0,544.7,7.81,229,False,0.03410480349344978
104,169,1,7,dV,9,2.608,0,3,Young,768,840,73,873.7,548.5,852.5,205.8,8.65,604,False,0.014321192052980132
105,170,1,7,dV,10,7.473,0,1,Young,-9,54,64,832.0,274.3,835.9,475.9,5.1,205,False,0.024878048780487803
